# Basic actions
n(u)	nu na n	Then (a mostly-meaningless word used to introduce a new sentence in Hittite, called the "sentence connective".)
=za	=za =z	Self (as in "myself", "yourself", etc). In Hittite, this word is also used any time the main verb in a sentence is "I am" or "you are", but not "it is" or "they are".	CLIT
=kan	=kan =kkan	A particle that affects the meaning of the verb in subtle ways. Usually left untranslated.	CLIT
ešun	ešun ēšta ešer	I was (at a location: dative)	"I was" ešun "it was" ēšta "they were" ešer
taruḫḫun	taruḫḫun	I was able to (when attached to another verb); I overpowered (someone: accusative, with =za)
dankui	dankui dankuin dankuwayaš dankuwaz	Dark	NOUN dankui dankuwayaš dankui dankuin dankuwaz
apiya	apiya	There, at that place
ōḫḫun	ōḫḫun ūḫḫun aušta	I looked, saw (something: accusative)	VERB ōḫḫun aušta
ḫarkun	ḫarkun	I had, held (something: accusative)
waššiyanun	waššiyanun	I wore, had on (something: accusative)
pāun	pāun pait	I went (to a place: dative)	VERB pāun pait
pēda	pēdan pēdaš pēdi pēdaz pēda	Place, location	NOUN pēdan pēdaš pēdi pēdan pēdaz
kuit	kuit	Because
apa	apāš apēl apēdani apōn apūn apēz apa	That	NOUN apāš apēl apēdani apōn apēz
karū	karū	Already
šarraḫḫun	šarraḫḫun	I passed through, crossed (something: accusative)
dāḫḫun	dāḫḫun	I took (something: accusative)
natta	natta	Not
=aš	=aš =an =at =ši	He/she/it (referring back to the most recently-mentioned noun)	"Common gender nom" =aš "Common gender acc" =an "Neuter gender nom/acc" =at "Any gender dat" =ši
mekki	mekki	Very
nakkiš	nakkiš nakki	Heavy	"Common gender" nakkiš "Neuter gender" nakki
šalliš	šalliš šalli	Large	"Common gender" šalliš "Neuter gender" šalli
katta	katta	Down (as in katta tēḫḫun, "I put (something) down")
tēḫḫun	tēḫḫun	I put (something: accusative; somewhere: dative)
kuenun	kuenun	I slew (someone: accusative; with something: ablative; always comes with =kan)	VERB kuenun kuenta
kištanunun	kištanunun	I extinguished (something: accusative)
lukkun	lukkun	I kindled, ignited, set on fire (something: accusative)
ḫuškanun	ḫuškanun	I waited
